,F,C,R75
0,0,0,17
1,1,0,0
2,0,0,1
3,0,0,10
4,0,0,19
5,0,0,21
6,0,1,0
7,0,4,0
8,0,2,0
9,0,0,29
10,0,1,2
11,0,0,28
12,0,1,0
13,0,0,1
14,0,24,1
15,0,0,1
16,0,0,2
17,0,0,25
18,0,0,1
19,0,0,1
20,0,0,13
21,0,8,4
22,0,66,0
23,0,6,1
24,0,0,14
25,0,2,2
26,0,32,0
27,0,2,0
28,0,1,0
29,0,16,0
30,0,0,28
31,0,1,0
32,0,29,2
33,0,3,4
34,0,2,0
35,0,0,2
36,0,2,0
37,0,4,17
38,0,9,1
39,0,5,1
40,0,94,0
41,0,7,9
42,0,1,0
43,0,0,25
44,0,0,1
45,0,9,12
46,0,0,13
47,0,0,7
48,0,1,0
49,0,21,1
50,0,4,2
51,0,13,1
52,0,1,0
53,0,24,30
54,0,4,5
55,0,1,1
56,0,0,24
57,1,3,4
58,0,5,4
59,0,36,0
60,0,37,0
61,0,2,0
62,0,1,0
63,0,47,0
64,0,1,1
65,0,1,2
66,0,0,6
67,1,0,1
68,0,1,5
69,0,1,0
70,0,46,0
71,0,23,0
72,0,49,0
73,0,0,3
74,0,0,5
75,0,22,32
76,0,2,1
77,0,0,21
78,0,0,1
79,0,13,0
80,0,2,9
81,0,31,10
82,0,2,0
83,0,3,0
84,0,0,3
85,1,32,14
86,0,20,0
87,1,57,0
88,0,0,1
89,0,0,33
90,0,30,0
91,0,1,2
92,0,6,0
93,0,0,1
94,0,0,1
95,0,3,9
96,1,0,11
97,0,1,20
98,0,0,13
99,0,1,0
100,0,23,0
101,1,17,0
102,0,0,1
103,1,0,1
104,0,10,11
105,0,28,0
106,0,27,0
107,0,0,7
108,0,0,1
109,0,1,0
110,0,1,1
111,0,12,9
112,0,1,0
113,0,34,11
114,0,10,4
115,0,0,7
116,0,10,19
117,0,18,0
118,0,1,0
119,0,68,1
120,0,92,0
121,0,55,0
122,0,0,1
123,0,36,55
124,0,27,0
125,0,0,25
126,0,0,32
127,0,0,37
128,0,40,9
129,0,5,19
130,0,1,0
131,0,0,14
132,0,0,29
133,0,2,2
134,1,3,1
135,0,3,17
136,0,1,26
137,0,35,1
138,0,1,22
139,0,47,0
140,0,35,3
141,0,0,1
142,0,1,0
143,0,2,3
144,0,1,0
145,0,3,0
146,1,4,1
147,0,0,1
148,0,6,1
149,1,1,28
150,0,3,0
151,0,0,33
152,0,1,1
153,0,29,0
154,0,0,2
155,0,0,32
156,0,6,0
157,0,0,7
158,0,9,0
159,0,1,5
160,0,1,0
161,1,16,3
162,0,23,0
163,0,2,0
164,0,3,0
165,0,8,0
166,0,0,21
167,0,1,0
168,0,0,5
169,0,24,0
170,0,17,22
171,0,10,0
172,0,19,0
173,0,9,0
174,1,44,3
175,0,17,0
176,0,12,0
177,0,21,26
178,0,37,1
179,0,44,0
180,0,26,0
181,0,1,3
182,0,15,6
183,0,2,0
184,0,41,8
185,0,1,1
186,0,6,0
187,0,1,2
188,0,23,0
189,0,10,0
190,0,8,0
191,0,65,7
192,0,3,0
193,0,6,13
194,0,2,2
195,0,0,1
196,0,67,1
197,0,0,2
198,0,0,1
199,0,0,7
200,0,0,15
201,0,6,0
202,0,61,0
203,0,1,2
204,0,0,24
205,0,0,4
206,0,9,4
207,0,21,0
208,0,15,1
209,0,3,0
210,0,0,8
211,0,0,28
212,0,2,1
213,0,5,4
214,0,0,1
215,0,2,0
216,0,0,1
217,0,13,0
218,0,17,0
219,0,24,8
220,0,0,41
221,0,0,1
222,0,10,24
223,0,0,8
224,0,8,0
225,0,1,0
226,0,4,0
227,0,0,12
228,0,17,0
229,0,0,16
230,0,3,0
231,0,47,0
232,1,4,4
233,0,1,7
234,0,36,1
235,0,0,1
236,0,79,0
237,0,33,7
238,0,17,0
239,0,3,0
240,0,9,0
241,0,0,11
242,0,20,0
243,0,9,0
244,1,9,11
245,0,1,0
246,0,8,17
247,0,4,0
248,0,1,0
249,0,30,8
250,1,9,1
251,1,25,2
252,0,33,0
253,0,32,0
254,0,63,1
255,0,44,4
256,0,37,0
257,0,21,14
258,0,3,0
259,1,31,0
260,0,14,0
261,0,11,37
262,0,6,0
263,0,1,0
264,0,0,7
265,0,78,0
266,0,1,24
267,0,3,5
268,0,89,0
269,0,1,2
270,0,4,0
271,0,11,29
272,0,55,0
273,0,14,0
274,0,55,0
275,1,0,0
276,0,14,4
277,0,0,3
278,0,1,3
279,0,41,17
280,0,18,3
281,0,23,0
282,0,21,0
283,0,0,29
284,0,0,3
285,0,10,58
286,0,3,12
287,0,1,0
288,0,12,2
289,0,25,0
290,0,40,0
291,0,1,3
292,0,0,9
293,0,8,3
294,0,10,18
295,0,1,75
296,0,4,3
297,1,0,44
298,0,0,72
299,0,0,4
300,0,1,25
301,0,0,72
302,1,1,43
303,0,3,2
304,0,2,2
305,0,1,26
306,0,14,5
307,0,0,15
308,0,0,21
309,0,0,10
310,0,1,6
311,0,2,50
312,0,0,5
313,0,0,28
314,0,42,3
315,0,2,42
316,0,9,0
317,0,29,15
318,0,0,61
319,0,2,7
320,0,6,0
321,0,2,4
322,0,1,20
323,1,5,12
324,0,5,13
325,0,3,13
326,0,0,49
327,1,1,17
328,0,0,38
329,0,18,6
330,0,56,2
331,0,0,1
332,1,0,43
333,0,7,0
334,0,0,19
335,0,0,29
336,0,1,7
337,0,0,27
338,1,37,0
339,0,0,38
