,C,R50
0,0,13
1,0,20
2,0,46
3,15,27
4,4,50
5,36,20
6,7,24
7,3,35
8,46,5
9,1,2
10,1,46
11,26,11
12,7,5
13,60,12
14,3,30
15,2,45
16,1,40
17,0,28
18,3,69
19,29,19
20,1,35
21,10,35
22,48,1
23,0,19
24,0,24
25,11,46
26,8,1
27,19,2
28,4,7
29,47,6
30,6,19
31,1,26
32,48,8
33,15,20
34,0,21
35,6,36
36,3,5
37,15,24
38,0,29
39,16,7
40,26,1
41,0,24
42,16,14
43,20,14
44,5,34
45,0,10
46,0,48
47,2,2
48,0,40
49,6,3
50,13,10
51,0,44
52,6,5
53,2,1
54,40,0
55,50,0
56,9,11
57,30,12
58,35,8
59,1,49
60,2,12
61,17,5
62,70,5
63,0,44
64,1,30
65,0,32
66,40,3
67,18,1
68,59,5
69,4,8
70,16,15
71,0,39
72,0,24
73,3,21
74,34,8
75,62,2
76,6,5
77,6,34
78,20,20
79,44,13
80,0,79
81,33,19
82,41,10
83,21,9
84,4,8
85,1,36
86,0,19
87,19,7
88,1,26
89,3,31
90,5,12
91,0,1
92,42,9
93,24,8
94,10,45
95,1,1
96,2,66
97,19,28
98,0,22
99,0,25
100,13,15
101,39,7
102,40,22
103,2,39
104,6,18
105,26,25
106,6,3
107,0,45
108,0,12
109,11,9
110,0,69
111,10,28
112,7,1
113,9,13
114,0,31
115,1,28
116,4,38
117,22,3
118,37,16
119,34,20
120,0,30
121,5,32
122,22,18
123,7,5
124,33,0
125,3,11
126,4,28
127,7,1
128,28,32
129,1,20
130,0,53
131,47,0
132,16,30
133,0,42
134,2,1
135,0,3
136,2,8
137,0,1
138,1,1
139,15,24
140,16,6
141,42,4
142,0,37
143,0,48
144,33,0
145,0,21
146,20,11
147,20,19
148,3,2
149,0,1
150,11,16
151,3,0
152,24,31
153,4,31
154,15,9
155,21,40
156,22,32
157,3,30
158,3,6
159,0,19
160,31,10
161,81,9
162,26,30
163,11,30
164,2,1
165,0,38
166,62,21
167,22,5
168,12,16
169,35,22
170,26,20
171,6,36
172,45,0
173,29,27
174,33,0
175,3,46
176,2,63
177,16,24
178,28,40
179,72,5
180,47,19
181,20,35
182,0,20
183,0,54
184,28,13
185,29,3
186,7,14
187,17,1
188,0,31
189,5,14
190,18,0
191,6,18
192,17,3
193,22,9
194,10,49
195,10,9
196,14,15
197,0,2
198,27,6
199,0,39
200,25,22
201,5,37
202,17,1
203,0,30
204,4,32
205,3,0
206,46,3
207,0,34
208,56,5
209,22,18
210,24,4
211,29,2
212,0,36
213,20,2
214,1,15
215,0,59
216,30,33
217,17,19
218,18,58
219,0,1
220,13,2
221,20,50
222,10,13
223,1,1
224,30,48
225,11,9
226,1,0
227,1,15
228,11,2
229,4,40
230,23,6
231,16,44
232,0,5
233,4,43
234,4,1
235,9,33
236,27,6
237,22,0
238,5,1
239,33,4
240,8,11
241,32,19
242,19,0
243,1,1
244,22,10
245,37,0
246,14,47
247,51,3
248,2,10
249,14,53
250,9,38
251,39,8
252,7,31
253,49,4
254,32,10
255,67,9
256,9,34
257,17,27
258,17,36
259,18,14
260,18,18
261,0,28
262,14,21
263,0,42
264,6,43
265,41,0
266,6,41
267,46,0
268,1,0
269,23,28
270,29,20
271,5,16
272,1,5
273,0,13
274,42,0
275,21,9
276,14,17
277,24,6
278,2,76
279,0,19
280,29,36
281,17,32
282,2,13
283,2,13
284,13,35
285,40,13
286,1,1
287,39,25
288,75,0
289,29,7
290,37,1
291,15,24
292,13,13
293,0,29
294,2,24
295,1,5
296,5,23
297,28,7
298,12,22
299,0,43
300,21,24
301,25,0
302,0,7
303,1,1
304,54,11
305,27,18
306,3,23
307,0,28
308,14,9
309,4,3
310,0,71
311,37,2
312,35,3
313,9,0
314,18,8
315,2,20
316,64,0
317,60,8
318,27,3
319,29,9
320,0,39
321,0,6
322,22,5
323,0,3
324,1,0
325,0,42
326,1,14
327,24,1
328,0,53
329,0,2
330,10,1
331,8,21
332,0,29
333,30,0
334,25,11
335,1,47
336,16,2
337,0,19
338,12,12
339,7,39
340,16,5
341,33,12
342,17,13
343,24,10
344,1,1
345,1,18
346,16,49
347,23,32
348,17,12
349,14,52
350,0,3
351,57,16
352,48,8
353,21,8
354,27,0
355,31,25
356,0,47
357,10,39
358,2,5
359,35,2
360,0,52
361,35,24
362,13,30
363,34,29
364,9,29
365,13,4
366,16,28
367,60,0
368,0,19
369,30,7
370,15,22
371,53,6
372,16,31
373,38,12
374,1,1
375,68,4
376,51,14
377,20,25
378,2,18
379,0,28
380,42,0
381,7,27
382,50,11
383,12,22
384,21,3
385,0,1
386,29,6
387,11,19
388,36,13
389,28,6
390,38,0
391,1,33
392,5,47
393,23,34
394,32,0
395,6,32
396,3,17
397,33,16
398,0,1
399,42,1
400,42,4
401,0,39
402,23,23
403,22,33
404,15,26
405,15,34
406,16,30
407,43,43
408,0,1
409,0,1
410,38,0
411,25,28
412,27,23
413,49,1
414,7,15
415,47,1
416,11,10
417,29,21
418,45,0
419,43,20
420,2,1
421,10,68
422,25,20
423,37,10
424,14,14
425,38,7
426,26,22
427,3,21
428,0,13
429,0,25
430,0,21
431,0,37
432,6,27
433,1,5
434,1,2
435,5,0
436,1,19
437,0,1
438,1,0
439,0,64
440,5,15
441,1,7
442,0,43
443,0,1
444,14,2
445,1,0
446,0,84
447,11,11
448,4,13
449,2,53
450,13,11
451,11,1
452,1,0
453,0,1
454,12,6
455,0,55
456,10,1
457,14,6
458,0,36
459,1,25
460,9,6
461,27,20
462,0,50
463,0,38
464,5,9
465,1,0
466,0,31
467,0,51
468,1,0
469,1,40
470,0,50
471,2,49
472,11,21
473,0,14
474,4,56
475,2,4
476,3,23
477,0,44
478,0,25
479,1,39
480,0,64
481,6,23
482,0,22
483,20,29
484,1,23
485,2,39
486,3,1
487,10,6
488,0,22
489,0,46
490,2,0
491,2,23
492,2,21
493,16,27
494,1,31
495,4,12
496,0,43
497,0,35
498,10,19
499,15,11
500,5,9
501,3,29
502,6,1
503,0,32
504,0,41
505,3,7
506,0,31
507,0,30
508,0,27
509,1,2
510,14,35
511,0,28
512,0,34
513,0,23
514,0,1
515,1,6
516,0,7
517,7,12
518,0,8
519,0,36
520,3,3
521,0,3
522,1,1
523,0,14
524,2,35
525,0,40
526,3,4
527,8,43
528,7,6
529,8,23
530,4,39
531,22,13
532,16,13
533,27,8
534,1,31
535,0,46
536,4,3
537,10,28
538,0,2
539,18,26
540,0,42
541,0,48
542,0,45
543,0,24
544,0,31
545,0,47
546,0,18
547,1,28
548,1,27
549,9,6
550,6,21
551,1,5
552,0,46
553,12,18
554,5,16
555,10,0
556,8,14
557,4,4
558,1,37
559,18,5
560,0,13
561,2,5
562,16,2
563,18,14
564,29,22
565,10,18
566,2,36
567,0,10
568,0,8
569,3,39
570,3,22
571,25,4
572,6,24
573,8,5
574,2,34
575,0,21
576,0,31
577,1,7
578,0,25
579,8,4
580,0,60
581,1,25
582,0,57
583,0,8
584,2,6
585,2,4
586,0,61
587,11,6
588,7,1
589,3,3
590,2,0
591,5,30
592,0,64
593,1,2
594,5,0
595,3,0
596,1,56
597,1,6
598,2,33
599,3,11
600,3,12
601,0,80
602,11,6
603,0,25
604,5,5
605,0,7
606,4,13
607,0,9
608,0,10
609,13,14
610,0,49
611,0,34
612,0,51
613,0,56
614,2,8
615,6,18
616,0,55
617,4,1
618,10,27
619,3,0
620,0,53
621,3,14
622,0,54
623,25,13
624,0,9
625,0,49
626,10,37
627,4,7
628,2,5
629,0,51
630,0,39
631,1,2
632,5,38
633,0,3
634,0,44
635,6,12
636,2,30
637,0,49
638,0,50
639,0,11
640,23,34
641,4,0
642,17,14
643,0,34
644,0,45
645,12,0
646,0,2
647,12,8
648,7,1
649,8,15
650,8,26
651,0,39
652,3,2
653,4,24
654,0,24
655,2,39
656,0,50
657,6,4
658,1,0
659,4,25
660,0,32
661,0,3
662,8,3
663,8,6
664,6,18
665,0,26
666,0,31
667,1,0
668,22,8
669,12,8
670,0,10
671,0,2
672,3,10
673,15,47
674,0,45
675,0,27
676,2,13
677,0,10
678,2,43
679,15,4
680,9,23
681,5,45
682,31,14
683,7,24
684,0,31
685,0,25
686,3,1
687,0,40
688,0,56
689,0,56
690,3,31
691,0,45
692,0,32
693,0,39
694,0,9
695,7,6
696,0,12
697,23,7
698,8,22
699,7,16
700,0,29
701,12,16
702,3,40
703,0,50
704,0,28
705,1,14
706,18,4
707,11,28
708,5,38
709,16,48
710,6,8
711,0,6
712,4,4
713,6,7
714,14,3
715,4,38
716,25,19
717,3,10
718,10,90
719,0,31
720,0,33
721,2,8
722,0,28
723,2,0
724,2,19
725,0,21
726,0,10
727,1,1
728,1,8
729,0,19
730,7,16
731,0,17
732,3,3
733,0,10
734,1,3
735,3,0
736,1,5
737,0,2
738,0,18
739,0,100
740,0,100
741,1,15
742,2,2
743,0,28
744,2,3
745,0,100
746,0,100
747,3,2
748,0,22
749,0,3
750,0,3
751,1,1
752,0,15
753,0,40
754,0,14
755,1,11
756,21,0
757,3,4
758,4,2
759,0,35
760,17,5
761,6,11
762,0,31
763,12,16
764,1,7
765,1,1
766,0,45
767,4,30
768,14,35
769,1,10
770,0,48
771,0,5
772,1,10
773,0,48
774,10,10
775,5,14
776,0,11
777,8,6
778,0,5
779,5,8
780,0,45
781,2,18
782,15,12
783,1,30
784,19,7
785,0,11
786,10,19
787,7,6
788,0,35
789,1,46
790,1,30
791,10,15
792,0,36
793,2,3
794,37,8
795,0,43
796,0,38
797,1,1
798,0,39
799,13,35
800,0,54
801,9,32
802,11,1
803,11,16
804,1,17
805,2,18
806,0,14
807,0,39
808,0,57
809,24,24
810,0,33
811,0,17
812,1,40
813,3,5
814,0,34
815,0,40
816,10,25
817,0,3
818,7,43
819,7,16
820,12,39
821,7,23
822,24,37
823,8,0
824,4,1
825,13,4
826,0,38
827,7,25
828,17,10
829,2,17
830,0,20
831,0,16
832,1,13
833,1,0
834,0,22
835,6,16
836,1,19
837,18,33
838,0,30
839,4,6
840,1,2
841,22,8
842,35,8
843,22,19
844,0,20
845,3,16
846,1,10
847,6,15
848,0,52
849,2,41
850,4,62
851,52,4
852,0,32
853,8,30
854,17,26
855,3,14
856,13,0
857,0,47
858,41,7
859,12,1
860,1,39
861,0,21
862,6,9
863,7,9
864,0,22
865,23,14
866,0,26
867,10,31
868,0,26
869,0,17
870,0,22
871,0,44
872,0,31
873,2,20
874,5,44
875,1,41
876,2,16
877,2,30
878,8,30
879,11,11
880,0,3
881,27,41
882,2,30
883,0,27
884,7,22
885,18,26
886,3,49
887,0,12
888,1,9
889,2,29
890,20,20
891,3,55
892,4,16
893,5,11
894,3,32
895,2,3
896,2,2
897,0,1
898,5,5
899,20,20
900,4,47
901,25,4
902,86,14
903,4,19
904,0,20
905,5,7
906,0,9
907,0,17
908,0,100
909,3,21
910,2,10
911,1,0
912,0,11
913,0,12
914,0,6
915,0,2
916,0,14
917,0,2
918,1,2
919,0,77
920,0,100
921,0,3
922,1,5
923,0,80
924,0,4
925,6,66
926,3,21
927,0,15
928,4,19
929,0,27
930,4,86
931,0,18
932,1,1
933,1,3
934,1,13
935,0,19
936,0,23
937,0,6
938,0,100
939,0,100
940,1,9
941,0,1
942,0,89
943,12,22
944,57,4
945,78,4
946,44,0
947,38,1
948,73,0
949,68,1
950,47,0
951,36,17
952,11,22
953,63,1
954,1,7
955,2,22
956,1,13
957,99,1
958,79,0
959,0,1
960,3,9
961,15,64
962,71,0
963,91,8
