,F,C,R50
0,0,13,0
1,0,20,1
2,0,46,0
3,0,41,1
4,0,54,0
5,0,56,0
6,0,31,0
7,0,38,0
8,0,50,0
9,0,3,0
10,0,47,0
11,0,37,0
12,0,4,8
13,0,72,0
14,0,32,1
15,0,47,0
16,0,41,0
17,0,28,0
18,0,72,0
19,0,47,1
20,0,36,0
21,0,33,12
22,0,43,6
23,0,19,0
24,0,24,0
25,0,57,0
26,0,9,0
27,0,21,0
28,0,10,1
29,0,52,1
30,0,25,0
31,0,27,0
32,0,56,0
33,0,35,0
34,0,21,0
35,0,42,0
36,0,8,0
37,0,39,0
38,0,29,0
39,0,23,0
40,0,27,0
41,0,24,0
42,0,29,1
43,0,34,0
44,0,39,0
45,0,7,3
46,0,47,1
47,1,3,0
48,0,40,0
49,0,9,0
50,0,23,0
51,0,44,0
52,0,11,0
53,0,2,1
54,1,36,3
55,0,50,0
56,0,20,0
57,0,42,0
58,0,43,0
59,0,50,0
60,0,13,1
61,0,22,0
62,0,75,0
63,1,40,3
64,1,29,1
65,0,31,1
66,0,43,0
67,0,17,2
68,0,64,0
69,0,12,0
70,0,30,1
71,0,39,0
72,0,24,0
73,0,24,0
74,0,42,0
75,0,64,0
76,0,11,0
77,0,40,0
78,0,35,5
79,0,57,0
80,0,79,0
81,0,50,2
82,0,48,3
83,0,29,1
84,0,6,6
85,0,37,0
86,0,19,0
87,0,26,0
88,0,27,0
89,0,34,0
90,0,17,0
91,0,1,0
92,0,51,0
93,0,32,0
94,0,55,0
95,0,1,1
96,0,68,0
97,0,35,12
98,0,22,0
99,0,17,8
100,0,28,0
101,0,46,0
102,0,62,0
103,0,41,0
104,0,15,9
105,0,51,0
106,0,8,1
107,0,45,0
108,0,10,2
109,0,6,14
110,0,68,1
111,0,38,0
112,1,7,0
113,0,21,1
114,0,31,0
115,0,29,0
116,0,42,0
117,0,25,0
118,0,52,1
119,0,54,0
120,0,30,0
121,0,36,0
122,0,40,0
123,0,8,4
124,0,33,0
125,1,12,1
126,1,31,0
127,0,8,0
128,0,59,1
129,0,16,5
130,0,52,1
131,0,47,0
132,0,46,0
133,0,42,0
134,0,1,2
135,0,2,1
136,0,10,0
137,0,1,0
138,0,0,2
139,0,32,7
140,0,20,2
141,0,46,0
142,0,37,0
143,0,48,0
144,0,33,0
145,0,21,0
146,0,30,1
147,0,39,0
148,0,5,0
149,0,1,0
150,0,25,2
151,0,1,2
152,0,55,0
153,0,35,0
154,0,24,0
155,0,61,0
156,0,54,0
157,0,33,0
158,0,9,0
159,0,19,0
160,0,40,1
161,0,90,0
162,0,56,0
163,0,41,0
164,0,3,0
165,0,38,0
166,0,83,0
167,0,27,0
168,0,28,0
169,0,57,0
170,0,46,0
171,0,42,0
172,0,45,0
173,0,56,0
174,0,29,4
175,0,49,0
176,0,65,0
177,0,30,10
178,0,68,0
179,0,77,0
180,0,66,0
181,0,55,0
182,0,20,1
183,0,54,0
184,0,41,0
185,0,24,8
186,5,10,6
187,0,18,0
188,0,30,1
189,0,12,7
190,0,18,0
191,0,24,0
192,0,20,0
193,0,30,1
194,0,58,1
195,0,18,1
196,0,29,0
197,0,1,1
198,0,31,2
199,0,39,0
200,0,34,13
201,0,38,4
202,0,18,0
203,0,29,1
204,0,36,0
205,0,3,0
206,0,49,0
207,0,34,0
208,0,61,0
209,0,39,1
210,0,14,14
211,0,31,0
212,0,36,0
213,0,22,0
214,1,14,1
215,0,59,0
216,0,63,0
217,0,36,0
218,0,76,0
219,0,0,1
220,0,15,0
221,0,70,0
222,0,23,0
223,0,1,1
224,0,76,2
225,0,20,0
226,0,1,0
227,0,16,0
228,0,13,0
229,0,44,0
230,0,29,0
231,0,60,0
232,0,3,2
233,0,47,0
234,0,3,2
235,0,42,0
236,1,31,1
237,0,21,1
238,0,4,2
239,0,37,0
240,0,19,0
241,0,51,0
242,0,19,0
243,0,2,0
244,0,32,0
245,0,37,0
246,0,61,0
247,0,54,0
248,0,11,1
249,0,67,0
250,0,47,0
251,0,47,0
252,0,38,0
253,0,53,0
254,0,42,0
255,0,76,0
256,0,43,0
257,0,44,0
258,0,52,1
259,0,32,0
260,0,36,0
261,0,28,0
262,0,35,0
263,0,37,5
264,0,49,0
265,0,41,0
266,0,47,0
267,0,46,0
268,0,1,0
269,0,40,11
270,0,48,2
271,0,21,0
272,0,6,0
273,0,13,0
274,0,42,0
275,0,30,0
276,0,31,0
277,0,30,0
