,C,R50
0,17,7
1,1,0
2,0,50
3,0,71
4,1,56
5,0,84
6,10,12
7,19,54
8,21,5
9,1,62
10,0,68
11,4,69
12,0,67
13,2,68
14,29,0
15,3,72
16,28,34
17,1,72
18,1,61
19,25,44
20,1,83
21,0,51
22,0,69
23,2,60
24,0,68
25,25,4
26,1,75
27,0,53
28,0,94
29,1,83
30,0,71
31,13,66
32,0,94
33,12,71
34,66,18
35,6,70
36,0,93
37,0,88
38,0,83
39,14,39
40,3,57
41,32,47
42,2,98
43,1,81
44,16,59
45,28,4
46,1,73
47,0,82
48,31,61
49,7,73
50,2,79
51,0,73
52,2,82
53,2,73
54,21,50
55,0,100
56,10,88
57,6,89
58,0,43
59,94,5
60,16,69
61,1,82
62,25,7
63,1,65
64,0,94
65,20,69
66,13,82
67,0,90
68,0,87
69,0,84
70,7,57
71,1,76
72,22,69
73,5,94
74,13,79
75,1,39
76,54,28
77,8,81
78,2,91
79,24,29
80,8,35
81,8,90
82,36,42
83,37,49
84,0,77
85,0,64
86,2,70
87,1,78
88,47,52
89,1,92
90,3,76
91,6,23
92,2,76
93,5,65
94,1,90
95,46,28
96,0,73
97,23,61
98,49,40
99,3,88
100,5,59
101,0,75
102,0,96
103,54,22
104,2,94
105,0,79
106,21,9
107,0,79
108,1,79
109,0,80
110,0,94
111,13,88
112,11,70
113,0,49
114,41,60
115,2,91
116,3,78
117,3,57
118,0,66
119,47,38
120,20,61
121,58,38
122,1,95
123,33,1
124,0,79
125,30,57
126,3,84
127,6,74
128,1,73
129,1,72
130,12,30
131,0,95
132,12,75
133,21,69
134,13,57
135,0,70
136,1,99
137,23,58
138,18,72
139,0,96
140,1,31
141,2,51
142,21,68
143,28,45
144,27,61
145,7,15
146,1,34
147,1,48
148,1,53
149,20,23
150,1,99
151,45,55
152,14,86
153,0,34
154,7,35
155,29,71
156,18,39
157,0,94
158,1,99
159,69,24
160,92,9
161,55,46
162,1,0
163,0,100
164,91,9
165,27,73
166,25,17
167,32,34
168,37,0
169,0,74
170,49,29
171,0,87
172,24,59
173,1,98
174,14,66
175,29,2
176,0,60
177,4,76
178,5,72
179,20,80
180,26,62
181,36,54
182,0,1
183,23,76
184,47,47
185,38,57
186,0,71
187,0,82
188,1,65
189,1,70
190,5,88
191,0,90
192,0,77
193,0,86
194,1,99
195,3,96
196,6,74
197,0,100
198,0,73
199,1,99
200,7,89
201,30,43
202,3,88
203,33,4
204,2,69
205,29,59
206,2,82
207,0,81
208,0,88
209,0,100
210,32,52
211,0,1
212,0,49
213,6,94
214,7,80
215,9,70
216,0,1
217,6,43
218,1,98
219,20,76
220,23,60
221,2,62
222,3,82
223,0,79
224,8,67
225,0,100
226,21,51
227,1,44
228,0,57
229,5,40
230,24,22
231,39,61
232,10,78
233,18,81
234,9,91
235,0,95
236,48,22
237,17,34
238,0,100
239,0,97
240,12,45
241,47,42
242,0,1
243,37,61
244,44,52
245,26,71
246,3,74
247,21,11
248,0,1
249,0,100
250,2,95
251,49,17
252,2,46
253,6,40
254,2,82
255,23,34
256,10,90
257,8,93
258,0,59
259,72,15
260,3,97
261,19,37
262,4,71
263,0,1
264,1,0
265,68,32
266,2,88
267,1,99
268,7,13
269,0,77
270,15,1
271,0,73
272,6,68
273,61,32
274,0,97
275,3,73
276,0,74
277,24,20
278,4,68
279,13,74
280,0,82
281,21,62
282,0,73
283,16,66
284,0,1
285,3,98
286,8,93
287,0,100
288,28,1
289,0,77
290,2,79
291,9,74
292,1,68
293,2,92
294,1,83
295,0,100
296,0,48
297,0,1
298,13,74
299,17,74
300,32,50
301,41,7
302,1,1
303,34,34
304,8,81
305,8,86
306,1,86
307,0,99
308,4,87
309,12,67
310,17,77
311,0,88
312,16,68
313,3,62
314,47,53
315,9,92
316,8,72
317,37,41
318,1,67
319,79,20
320,40,60
321,17,73
322,3,67
323,0,57
324,9,69
325,11,67
326,20,64
327,9,66
328,0,82
329,0,37
330,0,49
331,0,70
332,21,26
333,1,99
334,25,75
335,4,96
336,1,0
337,38,59
338,11,77
339,28,73
340,0,1
341,33,60
342,32,68
343,64,6
344,0,47
345,48,52
346,0,100
