,F,C,R50
0,7,0,0
1,0,1,0
2,1,0,0
3,0,9,0
4,36,0,6
5,0,1,0
6,25,0,1
7,31,0,5
8,0,1,0
9,39,0,0
10,1,0,0
11,15,0,7
12,4,0,1
13,61,0,0
14,23,0,0
15,37,0,0
16,66,0,0
17,0,0,1
18,24,0,0
19,8,0,2
20,5,0,1
21,40,0,0
22,0,1,0
23,6,0,0
24,42,0,0
25,33,0,0
26,5,0,3
27,21,0,6
28,0,2,0
29,12,0,0
30,33,0,0
31,19,0,4
32,3,1,1
33,21,0,2
34,29,0,0
35,0,14,0
36,66,0,0
37,41,0,0
38,56,0,0
39,17,0,8
40,20,0,12
41,0,1,0
42,19,0,0
43,2,0,1
44,1,0,1
45,15,0,0
46,0,2,1
47,39,0,0
48,1,0,0
49,22,0,0
50,0,1,0
51,23,0,2
52,26,1,2
53,22,0,0
54,0,1,0
55,13,0,0
56,20,0,5
57,0,0,4
58,62,0,0
59,11,0,0
60,37,0,0
61,12,0,0
62,43,0,0
63,61,0,1
64,88,0,2
65,25,0,3
66,0,8,0
67,0,0,3
68,18,0,0
69,16,1,0
70,35,0,0
71,35,0,11
72,37,0,0
73,14,0,0
74,74,0,4
75,4,0,0
76,56,0,0
77,1,0,2
78,22,0,0
79,38,0,0
80,35,0,0
81,0,44,0
82,54,0,0
83,48,0,0
84,59,0,0
85,8,1,8
86,50,0,0
87,0,5,0
88,3,0,1
89,13,5,1
90,13,0,0
91,2,0,1
92,43,0,0
93,14,0,0
94,0,1,0
95,0,1,0
96,5,0,2
97,26,0,12
98,34,0,1
99,0,0,2
100,13,0,1
101,25,0,0
102,2,0,0
103,0,3,0
104,0,0,1
105,4,0,0
106,1,0,1
107,6,0,4
108,17,0,3
109,45,0,0
110,0,6,0
111,2,0,0
112,10,0,3
113,1,0,11
114,90,0,0
115,10,0,1
116,0,9,0
117,14,0,2
118,52,0,1
119,19,0,8
120,30,0,0
121,3,0,1
122,31,0,0
123,20,0,0
124,12,0,0
125,33,0,0
126,4,0,0
127,1,0,1
128,0,4,0
129,28,0,1
130,46,0,0
131,68,0,1
132,1,0,3
133,3,0,0
134,11,0,0
135,2,0,1
136,23,0,0
137,2,0,0
138,10,2,0
139,9,0,0
140,16,0,1
141,0,7,0
142,18,0,2
143,19,0,0
144,42,0,0
145,0,2,0
146,1,0,0
147,44,0,2
148,6,0,2
149,1,0,1
150,1,0,0
151,29,0,0
152,16,0,0
153,8,0,7
154,24,0,0
155,2,0,0
156,0,3,0
157,7,0,0
158,7,0,2
159,25,0,0
160,0,2,0
161,15,1,0
162,1,0,0
163,30,0,1
164,1,0,14
165,35,0,0
166,2,0,1
167,1,0,0
168,23,0,0
169,0,0,7
170,14,0,0
171,0,4,0
172,43,0,0
173,6,1,4
