,C,R33
0,0,100
1,0,100
2,0,100
3,0,100
4,0,100
5,0,100
6,87,0
7,100,0
8,80,0
9,54,0
10,0,100
11,2,56
12,4,42
13,6,38
14,10,59
15,2,60
16,20,30
17,0,100
18,97,0
19,0,100
20,53,0
21,5,58
22,81,7
23,4,24
24,7,60
25,7,46
26,0,59
27,0,100
28,72,0
29,1,27
30,3,49
31,76,24
32,36,28
33,11,44
34,0,51
35,0,100
36,81,0
37,0,100
38,76,0
39,26,17
40,30,61
41,50,29
42,67,22
43,1,46
44,0,75
45,0,100
46,73,0
47,14,30
48,53,12
49,2,98
50,29,50
51,3,55
52,0,92
53,0,100
54,59,2
55,71,0
56,4,73
57,27,46
58,76,0
59,48,22
60,9,57
61,21,40
62,90,0
63,52,0
64,0,100
65,22,11
66,60,0
67,14,14
68,58,19
69,56,0
70,10,16
71,91,6
72,0,60
73,58,42
74,50,0
75,73,7
76,57,1
77,10,47
78,50,0
79,86,0
80,13,27
81,16,9
82,7,49
83,8,61
84,0,100
85,68,0
86,10,47
87,12,69
88,34,2
89,86,2
90,24,45
91,61,0
92,76,0
93,1,37
94,2,56
95,1,35
96,24,65
97,5,0
98,2,58
99,3,57
100,20,23
101,0,100
102,21,0
103,100,0
104,20,28
105,16,33
106,66,4
107,7,81
108,63,0
109,81,0
110,18,18
111,0,73
112,12,54
113,3,80
114,2,2
115,46,3
116,14,54
117,19,26
118,3,0
119,3,2
120,18,14
121,52,1
122,24,54
123,75,0
124,72,0
125,39,15
126,4,34
127,54,5
128,62,14
129,47,2
130,0,100
131,3,25
132,55,0
133,35,53
134,10,7
135,31,0
136,9,53
137,29,0
138,10,68
139,69,0
140,71,0
141,11,47
142,24,13
143,7,40
144,15,31
145,0,100
146,70,0
147,24,40
148,1,59
149,22,66
150,37,30
151,52,34
152,5,0
153,63,5
154,0,92
155,37,3
156,79,0
157,47,0
158,37,63
159,10,5
160,51,3
161,61,39
162,0,100
163,58,0
164,40,57
165,15,85
166,91,6
167,78,12
168,0,99
169,1,2
170,13,48
171,0,78
172,51,3
173,63,0
174,51,1
175,54,13
176,16,25
177,2,67
178,17,44
179,4,0
180,42,58
181,3,70
182,23,74
183,0,100
184,36,9
185,64,1
186,51,25
187,11,28
188,8,38
189,22,45
190,90,0
191,80,0
192,13,11
193,5,5
194,34,10
195,57,2
196,96,0
197,61,0
198,6,11
199,25,13
200,15,56
201,20,23
202,50,4
203,38,20
204,2,53
205,9,35
206,47,20
