,F,C,R50
0,0,100,0
1,0,100,0
2,0,100,0
3,0,100,0
4,0,100,0
5,0,100,0
6,0,87,0
7,0,100,0
8,0,80,0
9,0,54,0
10,0,100,0
11,4,54,0
12,2,44,0
13,4,40,0
14,18,51,0
15,3,59,0
16,2,48,0
17,0,100,0
18,0,97,0
19,0,100,0
20,0,53,0
21,29,34,0
22,5,83,0
23,1,27,0
24,33,34,0
25,5,48,0
26,29,30,0
27,0,100,0
28,0,72,0
29,27,1,0
30,5,47,0
31,2,98,0
32,1,63,0
33,9,46,0
34,2,49,0
35,0,100,0
36,0,81,0
37,0,100,0
38,0,76,0
39,11,32,0
40,3,88,0
41,3,76,0
42,31,58,0
43,1,46,0
44,1,74,0
45,0,100,0
46,0,73,0
47,4,40,0
48,0,65,0
49,0,100,0
50,24,55,0
51,0,58,0
52,70,22,0
53,0,100,0
54,34,27,0
55,0,71,0
56,12,65,0
57,17,56,0
58,0,76,0
59,37,33,0
60,0,66,0
61,26,35,0
62,0,90,0
63,0,52,0
64,0,100,0
65,32,1,0
66,0,60,0
67,28,0,0
68,69,8,0
69,0,56,0
70,25,1,0
71,97,0,0
72,54,6,0
73,100,0,0
74,49,1,0
75,80,0,0
76,55,3,0
77,57,0,0
78,0,50,0
79,0,86,0
80,40,0,0
81,25,0,0
82,42,14,0
83,69,0,0
84,0,100,0
85,0,68,0
86,57,0,0
87,81,0,0
88,36,0,0
89,88,0,0
90,69,0,0
91,0,61,0
92,0,76,0
93,38,0,0
94,55,3,0
95,36,0,0
96,88,1,0
97,0,5,0
98,59,1,0
99,60,0,0
100,43,0,0
101,0,100,0
102,0,21,0
103,100,0,0
104,48,0,0
105,46,3,0
106,70,0,0
107,88,0,0
108,0,63,0
109,0,81,0
110,36,0,0
111,73,0,0
112,66,0,0
113,69,14,0
114,0,4,0
115,25,24,0
116,67,1,0
117,44,1,0
118,0,3,0
119,0,5,0
120,32,0,0
121,53,0,0
122,77,1,0
123,0,75,0
124,0,72,0
125,54,0,0
126,38,0,0
127,58,1,0
128,76,0,0
129,48,1,0
130,0,100,0
131,28,0,0
132,0,55,0
133,86,2,0
134,16,1,0
135,0,31,0
136,62,0,0
137,29,0,0
138,77,1,0
139,0,69,0
140,0,71,0
141,57,1,0
142,35,2,0
143,47,0,0
144,46,0,0
145,0,100,0
146,0,70,0
147,63,1,0
148,60,0,0
149,88,0,0
150,67,0,0
151,86,0,0
152,0,5,0
153,66,2,0
154,92,0,0
155,40,0,0
156,0,79,0
157,0,47,0
158,100,0,0
159,14,1,0
160,47,7,0
161,97,3,0
162,0,100,0
163,0,58,0
164,97,0,0
165,100,0,0
166,97,0,0
167,90,0,0
168,99,0,0
169,0,3,0
170,61,0,0
171,73,5,0
172,54,0,0
173,0,63,0
174,0,52,0
175,63,4,0
176,41,0,0
177,69,0,0
178,61,0,0
179,0,4,0
180,100,0,0
181,73,0,0
182,97,0,0
183,0,100,0
184,0,45,0
185,6,59,0
186,6,70,0
187,1,38,0
188,2,44,0
189,0,67,0
190,0,90,0
191,0,80,0
192,24,0,0
193,8,2,0
194,34,10,0
195,59,0,0
196,0,96,0
197,0,61,0
198,17,0,0
199,38,0,0
200,72,0,0
201,43,0,0
202,0,54,0
203,57,1,0
204,41,14,0
205,44,0,0
206,0,67,0
207,1,50,0
208,35,0,0
209,18,42,0
210,13,19,0
211,1,22,0
212,1,33,0
