,C,R50
0,0,24
1,0,9
2,0,14
3,0,13
4,0,28
5,0,22
6,0,73
7,0,26
8,0,10
9,0,47
10,7,50
11,0,22
12,0,66
13,0,29
14,0,1
15,1,32
16,0,53
17,0,21
18,1,49
19,0,64
20,0,21
21,9,15
22,0,27
23,0,28
24,42,13
25,1,20
26,26,68
27,36,0
28,1,10
29,39,1
30,1,34
31,22,22
32,5,3
33,61,5
34,23,43
35,37,1
36,66,0
37,1,33
38,0,32
39,24,7
40,10,3
41,6,19
42,40,1
43,0,33
44,1,25
45,6,44
46,42,7
47,33,40
48,8,9
49,27,34
50,0,26
51,2,35
52,12,10
53,33,0
54,23,15
55,5,17
56,0,19
57,23,1
58,29,13
59,0,32
60,14,6
61,66,0
62,41,17
63,56,0
64,25,8
65,32,10
66,1,16
67,0,33
68,19,1
69,3,2
70,2,8
71,15,1
72,2,3
73,39,12
74,1,4
75,22,3
76,0,18
77,1,18
78,25,26
79,29,6
80,22,0
81,1,9
82,13,20
83,25,8
84,4,26
85,62,0
86,11,11
87,0,29
88,37,10
89,0,41
90,12,53
91,43,2
92,0,15
93,62,1
94,90,0
95,28,10
96,0,14
97,8,10
98,0,1
99,3,3
100,18,0
101,17,3
102,0,30
103,0,45
104,35,8
105,46,7
106,37,18
107,14,37
108,78,1
109,0,24
110,4,19
111,56,18
112,0,33
113,0,31
114,3,4
115,22,17
116,38,2
117,35,0
118,0,34
119,44,0
120,54,1
121,48,4
122,59,0
123,17,12
124,50,4
125,5,9
126,4,13
127,19,6
128,13,7
129,0,12
130,3,5
131,43,0
132,14,7
133,1,22
134,1,26
135,7,34
136,38,2
137,35,1
138,0,22
139,2,33
140,0,4
141,0,6
142,14,7
143,25,0
144,2,3
145,3,13
146,0,23
147,1,4
148,4,9
149,2,7
150,10,1
151,20,12
152,45,0
153,0,42
154,0,32
155,0,37
156,6,16
157,2,46
158,13,44
159,12,26
160,90,0
161,11,34
162,0,31
163,9,9
164,16,5
165,53,23
166,27,17
167,30,22
168,4,54
169,0,1
170,31,27
171,20,0
172,12,31
173,33,16
174,4,37
175,2,24
176,4,19
177,29,28
178,46,3
179,69,8
180,0,62
181,4,18
182,3,22
183,11,10
184,3,18
185,0,32
186,23,0
187,2,44
188,0,30
189,12,5
190,0,37
191,0,25
192,9,41
193,17,40
194,7,9
195,20,34
196,19,6
197,42,5
198,2,26
199,1,0
200,46,0
201,8,14
202,0,1
203,0,13
204,2,21
205,1,40
206,29,0
207,0,26
208,16,14
209,15,6
210,24,13
211,2,23
212,0,20
213,0,10
214,3,10
215,0,30
216,7,6
217,9,14
218,25,9
219,2,19
220,16,1
221,1,1
222,31,1
223,15,7
224,35,4
225,3,3
226,1,14
227,23,6
228,7,6
229,14,19
230,0,26
231,4,19
232,43,2
233,11,6
234,13,1
235,11,1
236,0,31
237,2,8
238,17,29
239,22,7
240,15,4
241,21,1
242,3,6
243,23,15
244,0,20
245,0,16
246,3,18
247,28,1
248,57,6
249,26,0
250,19,30
251,18,16
252,0,44
253,2,10
254,14,14
255,36,5
256,50,0
257,25,0
258,43,0
259,0,1
260,2,8
261,5,3
262,0,29
263,0,25
264,66,0
265,23,25
266,15,15
267,49,1
268,1,51
269,31,1
270,0,3
271,1,0
272,22,1
273,16,1
274,14,7
275,0,8
276,0,2
277,32,4
278,49,0
279,27,29
280,2,9
281,41,4
282,32,3
283,54,8
284,28,26
285,78,1
286,1,14
287,5,19
288,10,2
289,22,21
290,26,1
291,0,12
292,35,2
293,18,2
294,29,0
295,27,1
296,2,28
297,21,3
298,13,37
299,24,15
300,0,25
301,0,27
302,0,29
303,0,4
304,24,6
305,0,1
306,9,30
307,12,3
308,13,5
309,8,11
310,0,19
311,45,0
312,11,0
313,0,2
314,2,28
315,20,1
316,10,1
317,2,11
318,1,24
319,35,3
320,22,0
321,55,6
322,35,0
323,30,0
324,37,1
325,22,0
326,3,8
327,19,5
328,33,0
329,4,16
330,0,44
331,0,24
332,27,4
333,19,2
334,0,2
335,21,12
336,0,14
337,23,1
338,42,0
339,4,7
340,0,6
341,9,13
342,30,2
343,26,0
344,1,10
345,0,37
346,0,28
347,0,89
348,20,79
349,2,73
350,0,75
351,17,67
352,23,57
353,0,72
354,1,67
355,11,87
356,54,28
357,0,97
358,0,59
359,34,39
360,0,80
361,42,27
362,1,98
363,0,56
364,2,67
365,4,96
366,13,78
367,2,71
368,32,41
369,0,84
370,0,86
371,3,79
372,19,41
373,2,98
374,4,95
375,0,75
376,6,90
377,0,72
378,1,93
379,11,77
380,3,62
381,0,99
382,8,74
383,0,80
384,0,87
385,3,92
386,0,85
387,14,80
388,0,73
389,0,87
390,1,79
391,19,66
392,25,44
393,78,1
394,40,36
395,73,4
396,25,52
397,13,51
398,75,11
399,50,22
400,2,78
401,0,92
402,85,1
403,58,12
404,10,71
405,30,40
406,6,47
407,42,12
408,0,83
409,45,45
410,65,13
411,49,29
412,72,4
413,4,65
414,4,53
415,25,47
416,9,39
417,0,84
418,33,39
419,17,64
420,2,98
421,54,16
422,85,0
423,32,39
424,65,5
425,58,12
426,45,17
427,18,60
428,78,1
429,3,64
430,51,24
431,44,54
432,71,10
433,40,38
434,0,84
435,64,8
436,73,11
437,15,58
438,16,81
439,32,34
440,1,2
441,0,70
442,0,70
443,9,47
444,38,36
445,0,78
446,0,83
447,2,64
448,8,1
449,1,76
450,0,85
451,0,88
452,0,45
453,0,57
454,1,55
455,20,60
456,0,86
457,0,83
458,65,21
459,61,9
460,49,29
461,32,47
462,68,5
463,45,55
464,42,33
465,1,73
466,77,3
467,29,58
468,51,34
469,31,47
470,0,61
471,0,64
472,78,0
473,48,13
474,13,66
475,60,5
476,0,1
477,1,52
478,0,80
479,0,78
480,1,89
481,4,74
482,1,98
483,0,53
484,2,92
485,36,55
486,1,7
487,24,39
488,0,32
489,9,82
490,2,62
491,0,86
492,2,78
493,0,76
494,10,65
495,1,21
496,1,66
497,21,60
498,0,83
499,0,68
500,2,44
501,2,54
502,0,56
503,62,30
504,71,2
505,42,34
506,51,22
507,68,5
508,15,70
509,54,39
510,13,54
511,81,1
512,26,44
513,68,5
514,52,37
515,1,0
516,92,1
517,43,31
518,81,9
519,45,41
520,16,41
521,25,44
522,5,47
523,0,73
524,0,80
525,10,84
526,17,74
527,0,80
528,37,62
529,45,50
530,7,84
531,1,79
532,4,3
533,0,31
534,2,91
535,42,16
536,27,67
537,16,64
538,15,53
539,0,22
540,4,89
541,0,38
542,0,31
543,54,44
544,12,87
545,22,69
546,14,41
547,14,2
548,0,79
549,0,100
550,0,51
551,0,38
552,0,90
553,5,43
554,0,95
555,19,37
556,3,67
557,1,91
558,24,66
559,9,59
560,4,61
561,0,100
562,7,92
563,0,99
564,16,59
565,3,97
566,0,66
567,28,55
568,0,95
569,21,74
570,0,87
571,0,78
572,29,40
573,0,89
574,0,95
575,39,52
576,25,74
577,4,72
578,13,62
579,1,68
580,0,86
581,24,54
582,2,61
583,0,89
584,7,76
585,0,74
586,6,64
587,1,86
588,11,56
589,34,65
590,55,41
591,3,71
592,0,88
593,51,20
594,12,83
595,51,12
596,86,6
597,45,22
598,48,16
599,32,45
600,12,65
601,36,42
602,79,0
603,42,14
604,60,8
605,57,35
606,16,53
607,0,60
608,34,45
609,75,2
610,96,4
611,42,47
612,37,39
613,0,59
614,2,1
615,2,84
616,0,79
617,14,69
618,27,70
619,0,70
620,38,59
621,1,89
622,4,96
623,21,61
624,86,5
625,76,10
626,51,23
627,48,29
628,41,35
629,70,0
630,17,56
631,0,67
632,57,14
633,20,69
634,72,22
635,41,39
636,0,73
637,0,93
638,0,70
639,51,27
640,64,16
641,16,79
642,72,9
643,53,9
644,21,51
645,16,45
646,0,63
647,0,55
648,1,54
649,68,31
650,70,12
651,17,63
652,3,6
653,34,65
654,30,65
655,47,24
656,0,63
657,8,85
658,1,88
659,0,51
660,2,81
661,49,35
662,62,7
663,74,0
664,58,16
665,0,91
666,68,6
667,68,4
668,50,39
669,34,48
670,3,49
671,22,58
672,16,68
673,0,84
674,60,20
675,0,99
676,3,66
677,62,15
678,3,62
679,69,7
680,1,2
681,0,76
682,13,71
683,0,31
684,57,17
685,2,86
686,1,73
687,4,78
688,55,25
689,19,41
690,5,20
691,0,76
692,0,78
693,0,80
694,0,89
695,0,78
696,0,100
697,0,93
698,0,86
699,1,9
700,2,94
701,0,81
702,4,80
703,0,98
704,11,87
705,0,58
706,1,74
707,48,43
708,60,16
709,59,6
710,2,71
711,72,1
712,84,6
713,32,38
714,35,42
715,20,58
716,0,67
717,93,7
718,51,15
719,2,1
720,1,86
721,58,33
722,76,13
723,28,52
724,54,19
725,2,57
726,9,42
727,0,80
728,0,26
729,11,50
730,18,58
731,12,83
732,13,75
733,30,66
734,17,0
735,10,69
736,0,73
737,0,61
738,0,83
739,0,84
740,0,86
741,4,81
742,24,55
743,1,60
744,41,45
745,1,6
746,0,32
747,0,36
748,3,86
749,14,74
750,0,98
751,7,18
752,15,58
753,15,50
754,0,78
755,1,74
756,43,50
757,33,15
758,42,45
759,7,81
760,21,51
761,69,17
762,0,65
763,47,36
764,0,65
765,5,72
766,6,75
767,45,17
768,50,17
769,0,81
770,8,4
771,0,58
772,0,48
773,13,57
774,0,89
775,4,77
776,13,68
777,13,52
778,42,42
779,8,60
780,0,29
781,0,18
782,26,67
783,16,56
784,9,68
785,57,18
786,14,52
787,0,78
788,55,23
789,0,47
790,25,39
791,0,72
792,7,65
793,37,34
794,1,74
795,0,88
796,85,1
797,0,39
798,3,61
799,0,89
800,35,49
801,24,59
802,62,28
803,47,29
804,72,4
805,0,37
806,8,76
807,0,100
808,1,90
809,4,93
810,39,48
811,0,79
812,10,72
813,64,34
814,27,72
815,0,46
816,0,77
817,0,88
818,52,22
819,15,70
820,25,41
821,1,98
822,0,88
823,9,83
824,31,44
825,0,83
826,10,51
827,0,88
828,0,94
829,9,80
830,14,76
831,11,62
832,31,63
833,4,96
834,33,36
835,10,58
836,0,73
837,0,99
838,0,96
839,0,69
840,2,96
841,0,79
842,0,60
843,0,74
844,13,62
845,5,70
846,1,81
847,34,63
848,46,52
849,0,75
850,33,50
851,15,70
852,16,63
853,24,65
854,18,60
