,R50,C,F,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR,"AA,KK",WR,WR1,GS,GS1,SD
0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
3,0,9,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
4,6,0,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
6,1,0,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
7,5,0,31,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
9,0,0,39,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
11,7,0,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
12,1,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
13,0,0,61,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
14,0,0,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
15,0,0,37,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
16,0,0,66,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
17,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
18,0,0,24,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
19,2,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
20,1,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
21,0,0,40,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
22,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
23,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
24,0,0,42,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
25,0,0,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
26,3,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
27,6,0,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
28,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
29,0,0,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
30,0,0,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
31,4,0,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
32,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
33,2,0,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
34,0,0,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
35,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
36,0,0,66,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
37,0,0,41,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
38,0,0,56,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
39,8,0,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
40,12,0,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
41,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
42,0,0,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
43,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
44,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
45,0,0,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
46,1,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
47,0,0,39,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
48,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
49,0,0,22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
50,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
51,2,0,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
52,2,1,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
53,0,0,22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
54,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
55,0,0,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
56,5,0,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
57,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
58,0,0,62,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
59,0,0,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
60,0,0,37,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
61,0,0,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
62,0,0,43,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
63,1,0,61,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
64,2,0,88,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
65,3,0,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
66,0,8,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
67,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
68,0,0,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
69,0,1,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
70,0,0,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
71,11,0,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
72,0,0,37,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
73,0,0,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
