,C,R33,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR,"AA,KK",WR,WR1,GS,GS1,SD
0,0,100,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,100,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,0,100,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,0,100,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,0,100,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,0,100,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6,87,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
7,100,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
8,80,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
9,54,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
10,0,100,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
11,2,56,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
12,4,42,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
13,6,38,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
14,10,59,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
15,2,60,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
16,20,30,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
17,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
18,97,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
19,0,100,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
20,53,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
21,5,58,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
22,81,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
23,4,24,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
24,7,60,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
25,7,46,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
26,0,59,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
27,0,100,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
28,72,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
29,1,27,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
30,3,49,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
31,76,24,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
32,36,28,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
33,11,44,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
34,0,51,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
35,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
36,81,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
37,0,100,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
38,76,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
39,26,17,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
40,30,61,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
41,50,29,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
42,67,22,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
43,1,46,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
44,0,75,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
45,0,100,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
46,73,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
47,14,30,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
48,53,12,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
49,2,98,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
50,29,50,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
51,3,55,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
52,0,92,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
53,0,100,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
54,59,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
55,71,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
56,4,73,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
57,27,46,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
58,76,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
59,48,22,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
60,9,57,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
61,21,40,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
62,90,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
63,52,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
64,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
65,22,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
66,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
67,14,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
68,58,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
69,56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
70,10,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
