,C,R50,F,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR,"AA,KK",WR,WR1,GS,GS1,SD
0,100,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,100,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,100,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,100,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,100,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,100,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6,87,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
7,100,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
8,80,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
9,54,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
10,100,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
11,54,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
12,44,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
13,40,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
14,51,0,18,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
15,59,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
16,48,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
17,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
18,97,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
19,100,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
20,53,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
21,34,0,29,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
22,83,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
23,27,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
24,34,0,33,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
25,48,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
26,30,0,29,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
27,100,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
28,72,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
29,1,0,27,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
30,47,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
31,98,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
32,63,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
33,46,0,9,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
34,49,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
35,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
36,81,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
37,100,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
38,76,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
39,32,0,11,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
40,88,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
41,76,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
42,58,0,31,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
43,46,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
44,74,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
45,100,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
46,73,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
47,40,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
48,65,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
49,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
50,55,0,24,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
51,58,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
52,22,0,70,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
53,100,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
54,27,0,34,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
55,71,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
56,65,0,12,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
57,56,0,17,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
58,76,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
59,33,0,37,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
60,66,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
61,35,0,26,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
62,90,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
63,52,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
64,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
