,R50,C,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR,"AA,KK",WR,WR1,GS,GS1,SD
0,24,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,9,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
2,14,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
3,13,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
4,28,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
5,22,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6,73,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
7,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8,10,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
9,47,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
10,50,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
11,22,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
12,66,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
13,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
14,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
15,32,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
16,53,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
17,21,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
18,49,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
19,64,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
20,21,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
21,15,9,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
22,27,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
23,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
24,13,42,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
25,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
26,68,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
27,0,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
28,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
29,1,39,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
30,34,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
31,22,22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
32,3,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
33,5,61,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
34,43,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
35,1,37,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
36,0,66,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
37,33,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
38,32,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
39,7,24,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
40,3,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
41,19,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
42,1,40,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
43,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
44,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
45,44,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
46,7,42,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
47,40,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
48,9,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
49,34,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
50,26,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
51,35,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
52,10,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
53,0,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
54,15,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
55,17,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
56,19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
57,1,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
58,13,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
59,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
60,6,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
61,0,66,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
62,17,41,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
63,0,56,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
64,8,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
65,10,32,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
66,16,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
67,33,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
68,1,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
69,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
70,8,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
71,1,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
72,3,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
73,12,39,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
74,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
75,3,22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
76,18,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
77,18,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
78,26,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
79,6,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
80,0,22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
81,9,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
82,20,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
83,8,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
84,26,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
85,0,62,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
86,11,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
