,C,R75,F,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR
0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
2,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0
3,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0
4,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0
5,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0
6,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
7,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
8,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
9,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
10,0,3,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
11,0,0,12,0,0,0,0,0,0,0,0,0,0,1,1,0,1
12,2,2,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
13,0,0,24,0,0,0,0,0,0,0,1,1,0,1,1,0,0
14,33,26,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
15,0,7,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
16,0,7,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
17,0,38,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
18,0,6,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
19,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
20,0,7,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
21,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
23,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
24,0,32,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
25,1,59,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
26,0,11,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
27,0,0,20,0,0,0,0,0,0,0,1,1,0,0,0,0,0
28,0,0,78,0,0,0,0,0,0,0,0,0,0,1,1,0,0
29,0,0,42,0,0,0,0,0,0,0,1,1,0,0,0,0,0
30,15,6,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0
31,0,4,30,0,0,0,0,0,0,0,0,0,0,1,1,0,0
32,0,1,48,0,0,0,0,0,0,0,1,1,0,0,0,0,0
33,0,0,60,0,0,0,0,0,0,0,0,0,0,1,1,0,0
