,C,R50,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR
0,0,22,0,1,0,0,0,0,0,1,1,0,1,1,0,0
1,0,42,0,1,0,0,0,0,0,1,1,0,1,1,0,0
2,0,39,0,1,0,0,0,0,0,1,1,0,1,1,0,0
3,0,17,0,1,0,0,0,0,0,1,1,0,1,1,0,0
4,1,16,0,1,0,0,0,0,0,1,1,0,1,1,0,0
5,9,10,0,1,0,0,0,0,0,1,1,0,1,1,0,0
6,0,41,0,1,0,0,0,0,0,1,1,0,1,1,0,0
7,0,40,0,1,0,0,0,0,0,1,1,0,1,1,0,0
8,0,28,0,1,0,0,0,0,0,1,1,0,1,1,0,0
9,0,32,0,1,0,0,0,0,0,1,1,0,1,1,0,0
10,0,48,0,1,0,0,0,0,0,1,1,0,1,1,0,0
11,0,41,0,1,0,0,0,0,0,1,1,0,1,1,0,0
12,0,33,0,1,0,0,0,0,0,1,1,0,1,1,0,0
13,0,38,0,1,0,0,0,0,0,1,1,0,1,1,0,0
14,1,4,0,1,0,0,0,0,0,1,1,0,1,1,0,0
15,1,11,0,1,0,0,0,0,0,1,1,0,1,1,0,0
16,1,38,0,1,0,0,0,0,0,1,1,0,1,1,0,0
17,0,2,0,1,0,0,0,0,0,1,1,0,1,1,0,0
18,4,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0
19,0,49,0,0,0,0,0,0,0,1,1,0,1,1,0,0
20,21,9,0,0,0,0,0,0,0,1,1,0,1,1,0,0
21,0,29,0,1,0,0,0,0,0,1,1,0,0,0,0,0
22,3,32,0,0,0,0,0,0,0,1,1,0,1,1,0,0
23,0,34,0,1,0,0,0,0,0,1,1,0,0,0,0,0
24,0,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0
25,0,13,0,1,0,0,0,0,0,1,1,0,1,1,0,0
26,0,26,0,1,0,0,0,0,0,1,1,0,1,1,0,0
27,0,21,0,1,0,0,0,0,0,1,1,0,1,1,0,0
28,21,28,0,0,0,0,0,0,0,1,1,0,1,1,0,0
29,0,16,0,1,0,0,0,0,0,1,1,0,0,0,0,0
30,0,26,0,1,0,0,0,0,0,1,1,0,0,0,0,0
31,3,30,0,0,0,0,0,0,0,1,1,0,1,1,0,0
32,1,18,0,1,0,0,0,0,0,1,1,0,1,1,0,0
33,14,14,0,1,0,0,0,0,0,1,1,0,1,1,0,0
34,11,42,0,0,0,0,0,0,0,1,1,0,1,1,0,0
35,1,26,0,0,0,0,0,0,0,0,0,0,1,1,0,1
36,14,10,0,0,0,0,0,0,0,0,0,0,1,1,0,1
37,0,17,0,1,0,0,0,0,0,1,1,0,1,1,0,0
38,0,2,0,1,0,0,0,0,0,1,1,0,1,1,0,0
39,0,41,0,1,0,0,0,0,0,1,1,0,1,1,0,0
40,18,34,0,0,0,0,0,0,0,1,1,0,1,1,0,0
41,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
42,0,25,0,0,0,0,0,0,0,1,1,0,1,1,0,0
43,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
44,0,24,0,1,0,0,0,0,0,1,1,0,0,0,0,0
45,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0
46,12,6,0,0,0,0,0,0,0,1,1,0,1,1,0,0
47,4,15,0,0,0,0,0,0,0,1,1,0,1,1,0,0
48,0,16,0,1,0,0,0,0,0,1,1,0,1,1,0,0
49,0,8,0,1,0,0,0,0,0,1,1,0,1,1,0,0
50,0,35,0,1,0,0,0,0,0,1,1,0,1,1,0,0
51,3,7,0,0,0,0,0,0,0,1,1,0,1,1,0,0
52,0,26,0,1,0,0,0,0,0,1,1,0,1,1,0,0
53,0,21,0,1,0,0,0,0,0,1,1,0,1,1,0,0
54,0,24,0,1,0,0,0,0,0,1,1,0,1,1,0,0
55,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
56,1,6,0,1,0,0,0,0,0,1,1,0,1,1,0,0
57,0,36,0,1,0,0,0,0,0,1,1,0,1,1,0,0
58,1,15,0,1,0,0,0,0,0,1,1,0,1,1,0,0
59,56,12,0,0,0,0,0,0,0,1,1,0,1,1,0,0
