,C,R50,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR
0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0
1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0
2,2,67,0,1,0,0,0,0,0,1,1,0,1,1,0,0
3,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0
4,1,80,0,1,0,0,0,0,0,1,1,0,1,1,0,0
5,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
6,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0
7,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0
8,1,82,0,1,0,0,0,0,0,1,1,0,1,1,0,0
9,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
10,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
11,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0
12,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
13,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
14,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0
15,0,100,0,0,0,0,0,0,0,1,1,0,1,1,0,0
16,0,100,0,0,0,0,0,0,0,1,1,0,1,1,0,0
17,1,99,0,0,0,0,0,0,0,1,1,0,1,1,0,0
18,1,75,0,1,0,0,0,0,0,1,1,0,0,0,0,0
19,0,75,0,0,0,0,0,0,0,1,1,0,1,1,0,0
20,0,84,0,1,0,0,0,0,0,1,1,0,0,0,0,0
21,0,100,0,0,0,0,0,0,0,1,1,0,1,1,0,0
22,3,89,0,1,0,0,0,0,0,1,1,0,1,1,0,0
23,0,100,0,0,0,0,0,0,0,1,1,0,1,1,0,0
24,12,75,0,0,0,0,0,0,0,0,0,0,1,1,0,1
25,0,87,0,1,0,0,0,0,0,1,1,0,0,0,0,0
26,5,82,0,0,0,0,0,0,0,1,1,0,1,1,0,0
27,0,84,0,1,0,0,0,0,0,1,1,0,0,0,0,0
28,0,100,0,0,0,0,0,0,0,1,1,0,1,1,0,0
29,0,77,0,1,0,0,0,0,0,1,1,0,1,1,0,0
30,24,76,0,0,0,0,0,0,0,1,1,0,1,1,0,0
31,60,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1
32,0,100,0,0,0,0,0,0,0,1,1,0,1,1,0,0
33,0,94,0,0,0,0,0,0,0,1,1,0,1,1,0,0
34,8,61,0,0,0,0,0,0,0,0,0,0,1,1,0,1
35,0,78,0,1,0,0,0,0,0,1,1,0,0,0,0,0
36,7,67,0,1,0,0,0,0,0,1,1,0,0,0,0,0
37,0,97,0,0,0,0,0,0,0,1,1,0,1,1,0,0
38,0,100,0,0,0,0,0,0,0,1,1,0,1,1,0,0
39,38,26,0,1,0,0,0,0,0,1,1,0,1,1,0,0
40,6,94,0,0,0,0,0,0,0,1,1,0,1,1,0,0
41,5,78,0,0,0,0,0,0,0,0,0,0,1,1,0,1
42,7,92,0,0,0,0,0,0,0,1,1,0,1,1,0,0
43,0,74,0,0,0,0,0,0,0,0,0,0,1,1,0,1
44,2,92,0,0,0,0,0,0,0,1,1,0,1,1,0,0
45,1,68,0,0,0,0,0,0,0,0,0,0,1,1,0,1
46,0,94,0,0,0,0,0,0,0,1,1,0,1,1,0,0
47,0,94,0,0,0,0,0,0,0,1,1,0,1,1,0,0
48,0,96,0,0,0,0,0,0,0,1,1,0,1,1,0,0
49,0,78,0,0,0,0,0,0,0,1,1,0,1,1,0,0
50,1,89,0,0,0,0,0,0,0,1,1,0,1,1,0,0
51,32,39,0,1,0,0,0,0,0,1,1,0,0,0,0,0
52,60,15,0,1,0,0,0,0,0,1,1,0,0,0,0,0
53,11,69,0,1,0,0,0,0,0,1,1,0,0,0,0,0
54,20,74,0,0,0,0,0,0,0,1,1,0,0,0,0,0
