combo,weight
5d3c2c2d,100
5d3s2d2s,100
5s3c2c2s,100
5c3s2c2s,100
6c5c2c2d,76
6s5c2c2d,76
6c5s2c2d,76
6s5s2c2d,76
6c5c2d2s,76
6s5c2d2s,76
6c5s2d2s,76
6s5s2d2s,76
QcQh5c2c,100
QhQs5c2c,100
QcQh5s2c,100
QhQs5s2c,100
QcQh5c2s,100
QhQs5c2s,100
QcQh5s2s,100
QhQs5s2s,100
KcKh5c2c,100
KhKs5c2c,100
KcKh5s2c,100
KhKs5s2c,100
KcKh5c2s,100
KhKs5c2s,100
KcKh5s2s,100
KhKs5s2s,100
AsKc5c2c,100
AcKs5c2c,100
AsKs5c2c,100
AcKc5s2c,100
AsKc5s2c,100
AcKs5s2c,100
AsKs5s2c,100
AcKc5c2s,100
AsKc5c2s,100
AcKs5c2s,100
AsKs5c2s,100
AcKc5s2s,100
AsKc5s2s,100
AcKs5s2s,100
7h5c2c2h,100
7h5s2h2s,100
8h5c2c2h,100
8h5s2h2s,100
9h5c2c2h,100
9h5s2h2s,100
Jh5c2c2h,100
Jh5s2h2s,100
6d5c2c2h,100
6d5s2h2s,100
8h5c5h2c,100
8h5h5s2s,100
QdQh5c2c,100
QdQh5s2c,100
QdQh5c2s,100
QdQh5s2s,100
KdKh5c2c,100
KdKh5s2c,100
KdKh5c2s,100
KdKh5s2s,100
Ad8d5c2c,100
Ad8d5s2c,100
Ad8d5c2s,100
Ad8d5s2s,100
AdTd5c2c,100
AdTd5s2c,100
AdTd5c2s,100
AdTd5s2s,100
AdJd5c2c,100
AdJd5s2c,100
AdJd5c2s,100
AdJd5s2s,100
KdQd5c2c,100
KdQd5s2s,100
AdQd5c2c,100
AdQd5s2c,100
AdQd5c2s,100
AdQd5s2s,100
7h6c2c2h,100
7h6s2h2s,100
8h6c2c2h,100
8h6s2h2s,100
6c5d2c2h,100
6s5d2h2s,100
6c5d2c2d,100
6s5d2c2d,100
6c5d2d2s,100
6s5d2d2s,100
8d6c5d2c,53
8d6s5d2c,53
8d6c5d2s,53
8d6s5d2s,53
Qd6c5d2c,100
Qd6s5d2s,100
Ts8s6c2c,100
Ts8c6s2c,100
Tc8s6s2c,100
Ts8c6c2s,100
Tc8s6c2s,100
Tc8c6s2s,100
7c6h2c2h,100
7s6h2h2s,100
8h7c2c2h,100
8h7s2h2s,100
8s7c7s2c,100
8c7c7s2s,100
