combo,weight
AcKd3c2c,100
AcKd3s2c,100
AsKd3s2c,100
AcKd3c2s,100
AsKd3c2s,100
AsKd3s2s,100
3c3s2c2h,100
3c3s2h2s,100
3c3s2c2d,100
3c3s2d2s,100
Qd4d3c2c,1
Qd4d3s2s,1
Ad9d3c2c,100
Ad9d3s2s,100
AdJd3c2c,100
AdJd3s2c,100
AdJd3c2s,100
AdJd3s2s,100
AdQd3c2c,100
AdQd3s2c,100
AdQd3c2s,100
AdQd3s2s,100
3c3s2c2s,100
4s3c3s2c,100
4c3c3s2s,100
5s3c3s2c,100
5c3c3s2s,100
6s3c3s2c,49
6c3c3s2s,49
Qs3c3s2c,25
Qc3c3s2s,25
Ks3c3s2c,100
Kc3c3s2s,100
As3c3s2c,100
Ac3c3s2s,100
Qs4s3c2c,1
Qs4c3s2c,1
Qc4s3c2s,1
Qc4c3s2s,1
AhKc4c2c,100
AhKc4s2c,100
AhKs4s2c,100
AhKc4c2s,100
AhKs4c2s,100
AhKs4s2s,100
KcKd4c2c,100
KdKs4c2c,100
KcKd4s2c,100
KdKs4s2c,100
KcKd4c2s,100
KdKs4c2s,100
KcKd4s2s,100
KdKs4s2s,100
Ac4c2c2h,100
Ac4s2c2h,100
As4s2c2h,100
Ac4c2h2s,100
As4c2h2s,100
As4s2h2s,100
Ac5h4c2c,100
Ac5h4s2c,100
As5h4s2c,100
Ac5h4c2s,100
As5h4c2s,100
As5h4s2s,100
Ac4c2c2d,100
Ac4s2c2d,100
As4s2c2d,100
Ac4c2d2s,100
As4c2d2s,100
As4s2d2s,100
Ac4c4d2c,68
Ac4d4s2c,68
As4d4s2c,68
Ac4c4d2s,68
As4c4d2s,68
As4d4s2s,68
Ac5d4c2c,100
Ac5d4s2c,100
As5d4s2c,100
Ac5d4c2s,100
As5d4c2s,100
As5d4s2s,100
AcAd4c2c,100
AdAs4c2c,100
AcAd4s2c,100
AdAs4s2c,100
AcAd4c2s,100
AdAs4c2s,100
AcAd4s2s,100
AdAs4s2s,100
Ac4c2c2s,100
As4c2c2s,100
Ac4s2c2s,100
As4s2c2s,100
Ac4c4s2c,53
As4c4s2c,53
Ac4c4s2s,53
As4c4s2s,53
AcAs4c2c,100
AcAs4s2c,100
AcAs4c2s,100
AcAs4s2s,100
Th4c2c2h,1
Th4s2h2s,1
4c4d2c2h,100
4d4s2c2h,100
4c4d2h2s,100
4d4s2h2s,100
4c4s2c2h,100
4c4s2h2s,100
5h4c4d2c,5
5h4d4s2s,5
5h4c4s2c,5
5h4c4s2s,5
7h6h4c2c,100
7h6h4s2s,100
Ah6h4c2c,100
Ah6h4s2c,100
Ah6h4c2s,100
Ah6h4s2s,100
JhTh4c2c,100
JhTh4s2s,100
QhTh4c2c,100
QhTh4s2s,100
KhTh4c2c,100
KhTh4s2s,100
AhJh4c2c,100
AhJh4s2c,100
AhJh4c2s,100
AhJh4s2s,100
AhQh4c2c,100
AhQh4s2c,100
AhQh4c2s,100
AhQh4s2s,100
AhKh4c2c,100
AhKh4s2c,100
AhKh4c2s,100
AhKh4s2s,100
4c4d2c2d,100
4d4s2c2d,100
4c4d2d2s,100
4d4s2d2s,100
