combo,weight
AsKc3s2s,100
AsKh3s2s,100
Kc5c3s2s,100
Kh5h3s2s,100
AcKc3s2s,100
AhKh3s2s,100
AcAd3s2s,18
AdAh3s2s,18
4d3s2d2s,100
Kd3s2d2s,100
4d3d3s2s,100
6d3d3s2s,57
Ad8d3s2s,32
Ad9d3s2s,90
AdTd3s2s,41
KdJd3s2s,100
AdJd3s2s,27
AsKc4s2s,100
AsKh4s2s,100
Kc4s3c2s,82
Kh4s3h2s,82
6c5c4s2s,100
6h5h4s2s,100
Kc5c4s2s,100
Kh5h4s2s,100
8c6c4s2s,15
8h6h4s2s,15
Kc6c4s2s,100
Kh6h4s2s,100
AcKc4s2s,100
AhKh4s2s,100
4s3d2d2s,100
6d4s2d2s,98
Ad4s2d2s,15
4d4s3d2s,100
6d4d4s2s,71
Ad9d4s2s,94
AdTd4s2s,66
KdJd4s2s,100
AdJd4s2s,32
KdQd4s2s,99
AdQd4s2s,47
AsKc5s2s,100
AsKh5s2s,100
AsKd5s2s,100
7c5s2c2s,20
7h5s2h2s,20
Kc5s2c2s,100
Kh5s2h2s,100
5c5s3c2s,79
5h5s3h2s,79
Kc5s3c2s,100
Kh5s3h2s,100
5c5s4c2s,38
5h5s4c2s,38
5c5s4h2s,38
5h5s4h2s,38
6c5s4c2s,100
6h5s4h2s,100
Kc5s4c2s,100
Kh5s4h2s,100
6c5c5s2s,56
6h5c5s2s,56
6c5h5s2s,56
6h5h5s2s,56
8c5c5s2s,75
8h5h5s2s,75
Qc5c5s2s,100
Qh5h5s2s,100
Ac5c5s2s,100
Ah5h5s2s,100
6d5c5s2s,32
6d5h5s2s,32
Kc6c5s2s,100
Kh6h5s2s,100
8c7c5s2s,25
8h7h5s2s,25
Ac7c5s2s,100
Ah7h5s2s,100
KcTc5s2s,100
KhTh5s2s,100
KcJc5s2s,100
KhJh5s2s,100
KcQc5s2s,100
KhQh5s2s,100
AcKc5s2s,100
AhKh5s2s,100
5s4d3d2s,100
6d5s3d2s,100
6d5s4d2s,72
Kd6d5s2s,53
JdTd5s2s,99
QdTd5s2s,99
6s4c2c2s,37
6s4h2h2s,37
8c6s2c2s,19
8h6s2h2s,19
6s5c4c2s,100
6s5h4h2s,100
Kc6s4c2s,100
Kh6s4h2s,100
8c6s5c2s,100
8h6s5h2s,100
Kc6s5c2s,100
Kh6s5h2s,100
9c8c6s2s,97
9h8h6s2s,97
AcKc6s2s,100
AhKh6s2s,100
AcAd6s2s,56
AdAh6s2s,56
6s3d2d2s,62
6s4d2d2s,100
Kd6s2d2s,97
Ad6s2d2s,46
6d6s4d2s,50
8d6d6s2s,91
Ad6d6s2s,64
KdTd6s2s,100
AdTd6s2s,49
AdJd6s2s,82
KdQd6s2s,100
AdQd6s2s,100
Kc7s2c2s,66
Kh7s2h2s,66
Ac7s5c2s,100
Ah7s5h2s,100
KcTc7s2s,100
KhTh7s2s,100
AcKc7s2s,100
AhKh7s2s,100
AcAd7s2s,83
AdAh7s2s,83
AcAh7s2s,83
Ad7s6d2s,30
9d8d7s2s,76
8s6c2c2s,62
8s6h2h2s,62
8s6c5c2s,100
8s6h5h2s,100
8s7c5c2s,23
8s7h5h2s,23
8c8s6c2s,32
8h8s6c2s,32
8c8s6h2s,32
8h8s6h2s,32
9c8s6c2s,98
9h8s6h2s,98
Kc9c8s2s,100
Kh9h8s2s,100
AcKc8s2s,100
AhKh8s2s,100
AcAd8s2s,90
AdAh8s2s,90
8s6d2d2s,100
9d8s2d2s,100
Ad8s2d2s,32
8d8s4d2s,100
8d8s6d2s,67
9d8d8s2s,100
Kd8d8s2s,100
Ad8d8s2s,29
Td9d8s2s,100
Jd9d8s2s,100
Qd9d8s2s,100
KdTd8s2s,89
AdTd8s2s,62
AdJd8s2s,57
KdQd8s2s,63
AdQd8s2s,61
9s8c6c2s,65
9s8h6h2s,65
Kc9s8c2s,100
Kh9s8h2s,100
AcKc9s2s,100
AhKh9s2s,100
9s8d2d2s,100
Ad9s2d2s,26
Ad9s3d2s,54
Ad9s4d2s,53
9d9s6d2s,100
9d9s8d2s,100
Qd9d9s2s,100
Ad9d9s2s,61
AdTd9s2s,32
AdJd9s2s,45
AdQd9s2s,73
KcQsTs2s,100
KhQsTs2s,100
AsKcTs2s,100
AsKhTs2s,100
