combo,weight
JcJs3s2s,100
JhJs3s2s,100
JdJs3s2s,100
QcQs3s2s,100
QhQs3s2s,100
QdQs3s2s,100
4c3s2c2s,100
4h3s2h2s,100
5c3s2c2s,100
5h3s2h2s,100
6c3s2c2s,62
6h3s2h2s,62
Qc3s2c2s,100
Qh3s2h2s,100
Kc3s2c2s,100
Kh3s2h2s,100
Ac3s2c2s,100
Ah3s2h2s,100
3d3s2c2s,1
3d3s2h2s,1
3h3s2c2s,1
3c3s2h2s,1
4c3c3s2s,100
4h3h3s2s,100
5c3c3s2s,100
5h3h3s2s,100
6c3c3s2s,57
6h3h3s2s,57
Qc3c3s2s,57
Qh3h3s2s,57
Kc3c3s2s,100
Kh3h3s2s,100
Ac3c3s2s,100
Ah3h3s2s,100
3c3s2d2s,1
3h3s2d2s,1
5c4c3s2s,100
5h4h3s2s,100
Ac4c3s2s,100
Ah4h3s2s,100
6c5c3s2s,100
6h5h3s2s,100
Ac5c3s2s,100
Ah5h3s2s,100
Ac6c3s2s,100
Ah6h3s2s,100
Ac8c3s2s,48
Ah8h3s2s,48
Ac9c3s2s,100
Ah9h3s2s,100
JcTc3s2s,34
JhTh3s2s,34
QcTc3s2s,1
QhTh3s2s,1
KcTc3s2s,100
KhTh3s2s,100
AcTc3s2s,100
AhTh3s2s,100
QcJc3s2s,100
QhJh3s2s,100
KcJc3s2s,100
KhJh3s2s,100
AcJc3s2s,100
AhJh3s2s,100
JcJd3s2s,100
JdJh3s2s,100
JcJh3s2s,100
KcQc3s2s,100
KhQh3s2s,100
AcQc3s2s,100
AhQh3s2s,100
QcQd3s2s,100
QdQh3s2s,100
QcQh3s2s,100
AcAh3s2s,18
JdTd3s2s,34
QdTd3s2s,1
QdJd3s2s,90
JcJs4s2s,100
JhJs4s2s,100
JdJs4s2s,100
QcQs4s2s,100
QhQs4s2s,100
QdQs4s2s,100
As4s2c2s,40
As4s2h2s,40
As4s2d2s,40
4s3c2c2s,100
4s3h2h2s,100
5c4s2c2s,99
5h4s2c2s,99
5c4s2h2s,99
5h4s2h2s,99
8c4s2c2s,5
8h4s2h2s,5
Jc4s2c2s,98
Jh4s2h2s,98
Qc4s2c2s,100
Qh4s2h2s,100
Kc4s2c2s,100
Kh4s2h2s,100
Ac4s2c2s,100
Ah4s2h2s,100
4c4s3c2s,100
4h4s3h2s,100
5c4s3c2s,100
5h4s3h2s,100
Ac4s3c2s,100
Ah4s3h2s,100
5c4c4s2s,87
5h4c4s2s,87
5c4h4s2s,87
5h4h4s2s,87
6c4c4s2s,93
6h4h4s2s,93
Qc4c4s2s,100
Qh4h4s2s,100
Kc4c4s2s,100
Kh4h4s2s,100
Ac4c4s2s,100
Ah4h4s2s,100
8c5c4s2s,99
8h5h4s2s,99
Qc5c4s2s,99
Qh5h4s2s,99
Ac5c4s2s,100
Ah5h4s2s,100
5c4s2d2s,98
5h4s2d2s,98
5c4d4s2s,73
5h4d4s2s,73
Ac6c4s2s,100
Ah6h4s2s,100
Ac7c4s2s,100
Ah7h4s2s,100
Ac8c4s2s,100
Ah8h4s2s,100
Ac9c4s2s,100
Ah9h4s2s,100
JcTc4s2s,99
JhTh4s2s,99
QcTc4s2s,99
QhTh4s2s,99
KcTc4s2s,100
KhTh4s2s,100
AcTc4s2s,100
AhTh4s2s,100
QcJc4s2s,100
QhJh4s2s,100
KcJc4s2s,100
