combo,weight
KcKd3s2s,100
KdKh3s2s,100
KcKh3s2s,64
Qd3d3s2s,32
Ad4d3s2s,77
Ad6d3s2s,29
AdKd3s2s,77
KcKh4s2s,85
8d4s2d2s,4
Ad4s3d2s,85
Qd4d4s2s,53
8d6d4s2s,43
Kd6d4s2s,63
Ad6d4s2s,82
Ad8d4s2s,78
AdKd4s2s,88
Kc5c5s2s,99
Kh5h5s2s,99
5c5s4d2s,1
5h5s4d2s,1
KcKd5s2s,99
KdKh5s2s,99
KcKh5s2s,76
8d5s2d2s,100
Kd5s2d2s,85
Ad5s2d2s,17
Ad5s3d2s,70
Qd5s4d2s,99
Kd5s4d2s,40
Ad5s4d2s,80
8d6d5s2s,13
Ad6d5s2s,55
KdTd5s2s,78
AdTd5s2s,75
KdJd5s2s,67
AdJd5s2s,91
KdQd5s2s,65
AdQd5s2s,57
AdKd5s2s,61
6s5c5h2s,4
KcKh6s2s,52
Ad6s3d2s,50
Kd6s4d2s,64
Ad6s4d2s,58
9d6d6s2s,4
9d8d6s2s,97
Ad8d6s2s,63
Ad9d6s2s,40
AdKd6s2s,70
7c7s4c2s,91
7h7s4h2s,91
7c7s6c2s,70
7h7s6h2s,70
8c7s6c2s,34
8h7s6h2s,34
8c7c7s2s,64
8h7h7s2s,64
Kc7c7s2s,82
Kh7h7s2s,82
7c7s2d2s,55
7h7s2d2s,55
KcKh7s2s,100
7s6d2d2s,99
9d7s2d2s,20
Kd7s2d2s,44
Ad7s2d2s,59
Ad7s4d2s,82
KdTd7s2s,89
AdTd7s2s,45
AdJd7s2s,59
AdQd7s2s,47
AdKd7s2s,100
8c8s6d2s,3
8h8s6d2s,3
KcKh8s2s,86
8s4d2d2s,4
Ad8s4d2s,87
9d8s6d2s,53
Kd8s6d2s,1
Ad8s6d2s,72
Kd9d8s2s,94
Ad9d8s2s,50
AdKd8s2s,80
KcKh9s2s,61
9d9s4d2s,100
9s8d6d2s,100
Ad9s6d2s,21
Kd9s8d2s,88
Ad9s8d2s,60
AdKd9s2s,81
KdTcTs2s,92
KdThTs2s,92
KcKdTs2s,54
KdKhTs2s,54
KcKhTs2s,65
QdTs3d2s,60
KdJdTs2s,75
KdQdTs2s,57
AdKdTs2s,20
KdJs2c2s,42
KdJs2h2s,42
KdJcJs2s,82
KdJhJs2s,82
KcKdJs2s,68
KdKhJs2s,68
KcKhJs2s,37
KdJsTd2s,83
KdQs2c2s,68
KdQs2h2s,68
KcKhQs2s,58
As6d4c2s,1
As6d4h2s,1
AdKc2c2s,78
AdKh2h2s,78
AcKd2c2s,72
AhKd2h2s,72
Ad6d2c2s,62
Ad6d2h2s,62
Ad8d2c2s,70
Ad8d2h2s,70
Ad9d2c2s,63
Ad9d2h2s,63
KdTd2c2s,100
KdTd2h2s,100
KdJd2c2s,100
KdJd2h2s,100
KdQd2c2s,100
KdQd2h2s,100
AdKd2c2s,100
AdKd2h2s,100
AdKc3c2s,97
AdKh3h2s,97
KcKh3c2s,62
KcKh3h2s,62
AcKd3c2s,89
AhKd3h2s,89
AdKd3c2s,100
AdKd3h2s,100
KcKd4c2s,100
KdKh4c2s,100
KcKd4h2s,100
KdKh4h2s,100
AdKc4c2s,75
AdKh4h2s,75
KcKh4c2s,63
KcKh4h2s,63
Ad6d4c2s,1
Ad6d4h2s,1
AdKd4c2s,100
AdKd4h2s,100
KcKh5c2s,53
KcKh5h2s,53
