combo,weight
QcQs3s2s,100
QhQs3s2s,100
AsKc3s2s,100
AsKh3s2s,100
AcAs3s2s,100
AhAs3s2s,100
Qc3s2c2s,100
Qh3s2h2s,100
Qc3c3s2s,25
Qh3h3s2s,25
Kc4c3s2s,100
Kh4h3s2s,100
Kc5c3s2s,100
Kh5h3s2s,100
Ac9c3s2s,100
Ah9h3s2s,100
JcTc3s2s,100
JhTh3s2s,100
QcTc3s2s,100
QhTh3s2s,100
KcTc3s2s,100
KhTh3s2s,100
AcTc3s2s,100
AhTh3s2s,100
QcJc3s2s,100
QhJh3s2s,100
AcJc3s2s,100
AhJh3s2s,100
KcQc3s2s,100
KhQh3s2s,100
AcQc3s2s,100
AhQh3s2s,100
QcQh3s2s,100
AcKc3s2s,100
AhKh3s2s,100
AcAh3s2s,100
3d3s2d2s,100
4d3s2d2s,100
6d3s2d2s,100
QcQs4s2s,100
QhQs4s2s,100
AsKc4s2s,100
AsKh4s2s,100
AcAs4s2s,100
AhAs4s2s,100
Jc4s2c2s,100
Jh4s2h2s,100
Qc4s2c2s,100
Qh4s2h2s,100
6c4s3c2s,100
6h4s3h2s,100
Kc4s3c2s,100
Kh4s3h2s,100
Ac4s3c2s,100
Ah4s3h2s,100
Qc4c4s2s,100
Qh4h4s2s,100
6c5c4s2s,100
6h5c4s2s,100
6c5h4s2s,100
6h5h4s2s,100
Kc5c4s2s,100
Kh5h4s2s,100
7c6c4s2s,100
7h6h4s2s,100
Kc6c4s2s,100
Kh6h4s2s,100
Ac6c4s2s,100
Ah6h4s2s,100
JcTc4s2s,100
JhTh4s2s,100
QcTc4s2s,100
QhTh4s2s,100
KcTc4s2s,100
KhTh4s2s,100
AcTc4s2s,100
AhTh4s2s,100
QcJc4s2s,100
QhJh4s2s,100
KcJc4s2s,100
KhJh4s2s,100
AcJc4s2s,100
AhJh4s2s,100
AcQc4s2s,100
AhQh4s2s,100
QcQh4s2s,100
AcKc4s2s,100
AhKh4s2s,100
AcAh4s2s,100
4s3d2d2s,100
4d4s2d2s,100
QcQs5s2s,100
QhQs5s2s,100
As5c5s2s,1
As5h5s2s,1
AsKc5s2s,100
AsKh5s2s,100
AcAs5s2s,100
AhAs5s2s,100
AsKd5s2s,100
Kc5s2c2s,100
Kh5s2h2s,100
Kc5s3c2s,100
Kh5s3h2s,100
6c5s4c2s,100
6h5s4c2s,100
6c5s4h2s,100
6h5s4h2s,100
Kc5s4c2s,100
